date,close
2019-10-29,34.85
2019-10-30,34.94
2019-10-31,35.25
2019-11-01,35.7
2019-11-04,35.4
2019-11-05,35.08
2019-11-06,34.85
2019-11-07,34.98
2019-11-08,34.45
2019-11-11,34.35
2019-11-12,34.4
2019-11-13,34.42
2019-11-14,34.81
2019-11-15,34.89
2019-11-18,34.95
2019-11-19,35.02
2019-11-20,35.44
2019-11-21,35.67
2019-11-22,35.48
2019-11-25,35.46
2019-11-26,35.52
2019-11-27,35.73
2019-11-28,35.66
2019-11-29,35.66
2019-12-02,35.39
2019-12-03,35.12
2019-12-04,35.77
2019-12-05,35.53
2019-12-06,35.42
2019-12-09,35.25
2019-12-10,35.39
2019-12-11,35.31
2019-12-12,35.31
2019-12-13,34.78
2019-12-16,34.95
2019-12-17,34.84
2019-12-18,34.72
2019-12-19,34.53
2019-12-20,34.43
2019-12-23,34.53
2019-12-24,34.45
2019-12-25,34.55
2019-12-26,34.45
2019-12-27,34.5
2019-12-30,34.55
2019-12-31,34.39
2020-01-02,34.16
2020-01-03,34.68
2020-01-06,35.01
2020-01-07,34.72
2020-01-08,34.85
2020-01-09,34.39
2020-01-10,34.36
2020-01-13,34.52
2020-01-14,34.41
2020-01-15,34.69
2020-01-16,34.76
2020-01-17,34.59
2020-01-20,34.61
2020-01-30,36.44
2020-01-31,36.26
2020-02-03,36.67
2020-02-04,36.56
2020-02-05,36.2
2020-02-06,35.6
2020-02-07,36.05
2020-02-10,36.32
2020-02-11,36.3
2020-02-12,36.04
2020-02-13,36.13
2020-02-14,36.19
2020-02-17,36.34
2020-02-18,36.63
2020-02-19,36.62
2020-02-20,36.8
2020-02-21,37.39
2020-02-24,37.77
2020-02-25,37.96
2020-02-26,38.03
2020-02-27,38.39
2020-03-02,39.15
2020-03-03,38.75
2020-03-04,39.26
2020-03-05,39.01
2020-03-06,40.72
2020-03-09,44.21
2020-03-10,42.29
2020-03-11,42.25
2020-03-12,41.19
2020-03-13,41.19
2020-03-16,41.64
2020-03-17,41.35
2020-03-18,39.26
2020-03-19,36.78
2020-03-20,38.18
2020-03-23,40.29
2020-03-24,40.8
2020-03-25,40.84
2020-03-26,41.07
2020-03-27,41.03
2020-03-30,41.97
2020-03-31,41.64
2020-04-01,41.76
2020-04-06,41.97
2020-04-07,41.6
2020-04-08,41.68
2020-04-09,41.48
2020-04-10,41.48
2020-04-13,41.44
2020-04-14,41.07
2020-04-15,41.27
2020-04-16,42.01
2020-04-17,41.88
2020-04-20,42.09
2020-04-21,42.37
2020-04-22,42.99
2020-04-23,42.62
2020-04-24,42.7
2020-04-27,42.42
2020-04-28,41.97
2020-04-29,42.01
2020-04-30,41.68
2020-05-04,41.72
2020-05-05,41.48
2020-05-06,41.31
2020-05-07,40.94
2020-05-08,41.27
2020-05-11,40.71
2020-05-12,40.7
2020-05-13,41.07
2020-05-14,41.39
2020-05-15,41.68
2020-05-18,41.56
2020-05-19,40.86
2020-05-20,40.93
2020-05-21,41.2
2020-05-22,41.4
2020-05-25,41.4
2020-05-26,41.2
2020-05-27,40.86
2020-05-28,40.74
2020-05-29,40.76
2020-06-01,40.75
2020-06-02,40.55
2020-06-03,40.14
2020-06-04,39.91
2020-06-05,39.05
2020-06-08,38.61
2020-06-09,39.14
2020-06-10,39.43
2020-06-11,39.99
2020-06-12,40.3
2020-06-15,40.66
2020-06-16,39.66
2020-06-17,39.79
2020-06-18,39.9
2020-06-19,39.99
2020-06-22,40.07
2020-06-23,40.02
2020-06-24,39.69
2020-06-29,40.6
2020-06-30,40.48
2020-07-01,40.2
2020-07-02,40.24
2020-07-03,40.29
2020-07-06,39.96
2020-07-07,40.16
2020-07-08,40.45
2020-07-09,40.42
2020-07-10,41.2
2020-07-13,40.97
2020-07-14,40.99
2020-07-15,40.95
2020-07-16,41.03
2020-07-17,41.12
2020-07-20,41.12
2020-07-21,41.07
2020-07-22,41.07
2020-07-23,41.24
2020-07-24,41.81
2020-07-27,41.69
2020-07-28,41.12
2020-07-29,41.65
2020-07-30,41.57
2020-07-31,41.98
2020-08-03,41.81
2020-08-04,41.73
2020-08-05,41.85
2020-08-06,41.81
2020-08-07,42.06
2020-08-10,41.61
2020-08-11,41.57
2020-08-12,40.93
2020-08-13,40.87
2020-08-14,40.33
